Data supplied by UK-AIR on 25/3/2021
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2020,01:00,28.100,R,ugm-3 (TEOM FDMS),1.20749,R,ugm-3,19.18737,R,ugm-3,21.03882,R,ugm-3,22.100,R,ugm-3 (TEOM FDMS),20.700,R,ugm-3 (TEOM FDMS),32.79600,R,ugm-3,28.500,R,ugm-3 (TEOM FDMS),6.000,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS)
01-01-2020,02:00,29.600,R,ugm-3 (TEOM FDMS),1.46624,R,ugm-3,22.76021,R,ugm-3,25.00841,R,ugm-3,22.800,R,ugm-3 (TEOM FDMS),20.500,R,ugm-3 (TEOM FDMS),25.47844,R,ugm-3,26.700,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),6.200,R,ugm-3 (TEOM FDMS)
01-01-2020,03:00,28.100,R,ugm-3 (TEOM FDMS),1.22905,R,ugm-3,21.58568,R,ugm-3,23.47019,R,ugm-3,21.600,R,ugm-3 (TEOM FDMS),20.400,R,ugm-3 (TEOM FDMS),24.64690,R,ugm-3,28.800,R,ugm-3 (TEOM FDMS),6.500,R,ugm-3 (TEOM FDMS),8.400,R,ugm-3 (TEOM FDMS)
01-01-2020,04:00,28.800,R,ugm-3 (TEOM FDMS),0.80859,R,ugm-3,18.26079,R,ugm-3,19.50060,R,ugm-3,21.000,R,ugm-3 (TEOM FDMS),17.100,R,ugm-3 (TEOM FDMS),26.19356,R,ugm-3,25.800,R,ugm-3 (TEOM FDMS),7.800,R,ugm-3 (TEOM FDMS),8.700,R,ugm-3 (TEOM FDMS)
01-01-2020,05:00,21.900,R,ugm-3 (TEOM FDMS),0.71156,R,ugm-3,15.23390,R,ugm-3,16.32493,R,ugm-3,14.700,R,ugm-3 (TEOM FDMS),13.000,R,ugm-3 (TEOM FDMS),28.23916,R,ugm-3,21.900,R,ugm-3 (TEOM FDMS),7.200,R,ugm-3 (TEOM FDMS),8.900,R,ugm-3 (TEOM FDMS)
01-01-2020,06:00,17.500,R,ugm-3 (TEOM FDMS),0.48515,R,ugm-3,12.20690,R,ugm-3,12.95078,R,ugm-3,12.100,R,ugm-3 (TEOM FDMS),11.000,R,ugm-3 (TEOM FDMS),28.93765,R,ugm-3,17.600,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS),6.600,R,ugm-3 (TEOM FDMS)
01-01-2020,07:00,13.400,R,ugm-3 (TEOM FDMS),0.64687,R,ugm-3,13.44753,R,ugm-3,14.43938,R,ugm-3,9.500,R,ugm-3 (TEOM FDMS),12.600,R,ugm-3 (TEOM FDMS),28.13937,R,ugm-3,17.400,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),4.800,R,ugm-3 (TEOM FDMS)
01-01-2020,08:00,14.100,R,ugm-3 (TEOM FDMS),1.13202,R,ugm-3,16.02817,R,ugm-3,17.76391,R,ugm-3,8.900,R,ugm-3 (TEOM FDMS),10.900,R,ugm-3 (TEOM FDMS),20.70539,R,ugm-3,17.200,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS)
01-01-2020,09:00,15.900,R,ugm-3 (TEOM FDMS),11.12613,R,ugm-3,28.54082,R,ugm-3,45.60065,R,ugm-3,11.300,R,ugm-3 (TEOM FDMS),12.300,R,ugm-3 (TEOM FDMS),8.58151,R,ugm-3,17.700,R,ugm-3 (TEOM FDMS),4.600,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS)
01-01-2020,10:00,19.900,R,ugm-3 (TEOM FDMS),10.83504,R,ugm-3,30.42612,R,ugm-3,47.03963,R,ugm-3,14.700,R,ugm-3 (TEOM FDMS),14.000,R,ugm-3 (TEOM FDMS),5.08904,R,ugm-3,19.400,R,ugm-3 (TEOM FDMS),5.200,R,ugm-3 (TEOM FDMS),5.400,R,ugm-3 (TEOM FDMS)
01-01-2020,11:00,20.400,R,ugm-3 (TEOM FDMS),13.48720,R,ugm-3,27.79851,R,ugm-3,48.47860,R,ugm-3,14.100,R,ugm-3 (TEOM FDMS),14.600,R,ugm-3 (TEOM FDMS),6.88517,R,ugm-3,22.500,R,ugm-3 (TEOM FDMS),6.300,R,ugm-3 (TEOM FDMS),7.900,R,ugm-3 (TEOM FDMS)
01-01-2020,12:00,12.800,R,ugm-3 (TEOM FDMS),3.88121,R,ugm-3,17.51909,R,ugm-3,23.47019,R,ugm-3,6.400,R,ugm-3 (TEOM FDMS),8.500,R,ugm-3 (TEOM FDMS),18.16087,R,ugm-3,14.200,R,ugm-3 (TEOM FDMS),6.400,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS)
01-01-2020,13:00,12.400,R,ugm-3 (TEOM FDMS),2.97559,R,ugm-3,19.45350,R,ugm-3,24.01601,R,ugm-3,5.200,R,ugm-3 (TEOM FDMS),7.600,R,ugm-3 (TEOM FDMS),17.91141,R,ugm-3,13.100,R,ugm-3 (TEOM FDMS),7.200,R,ugm-3 (TEOM FDMS),5.500,R,ugm-3 (TEOM FDMS)
01-01-2020,14:00,12.800,R,ugm-3 (TEOM FDMS),3.20200,R,ugm-3,20.09875,R,ugm-3,25.00841,R,ugm-3,8.200,R,ugm-3 (TEOM FDMS),7.000,R,ugm-3 (TEOM FDMS),18.16087,R,ugm-3,10.800,R,ugm-3 (TEOM FDMS),4.600,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS)
01-01-2020,15:00,15.900,R,ugm-3 (TEOM FDMS),4.62511,R,ugm-3,24.36726,R,ugm-3,31.45899,R,ugm-3,9.200,R,ugm-3 (TEOM FDMS),10.800,R,ugm-3 (TEOM FDMS),14.31915,R,ugm-3,16.500,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS)
01-01-2020,16:00,20.600,R,ugm-3 (TEOM FDMS),6.59806,R,ugm-3,34.44175,R,ugm-3,44.55863,R,ugm-3,13.100,R,ugm-3 (TEOM FDMS),13.100,R,ugm-3 (TEOM FDMS),6.93506,R,ugm-3,19.500,R,ugm-3 (TEOM FDMS),7.500,R,ugm-3 (TEOM FDMS),6.400,R,ugm-3 (TEOM FDMS)
01-01-2020,17:00,15.700,R,ugm-3 (TEOM FDMS),1.90826,R,ugm-3,25.90318,R,ugm-3,28.82914,R,ugm-3,9.900,R,ugm-3 (TEOM FDMS),10.100,R,ugm-3 (TEOM FDMS),21.75313,R,ugm-3,17.200,R,ugm-3 (TEOM FDMS),5.800,R,ugm-3 (TEOM FDMS),7.100,R,ugm-3 (TEOM FDMS)
01-01-2020,18:00,21.000,R,ugm-3 (TEOM FDMS),14.65157,R,ugm-3,49.63223,R,ugm-3,72.09766,R,ugm-3,14.200,R,ugm-3 (TEOM FDMS),12.200,R,ugm-3 (TEOM FDMS),7.68345,R,ugm-3,18.400,R,ugm-3 (TEOM FDMS),6.800,R,ugm-3 (TEOM FDMS),6.200,R,ugm-3 (TEOM FDMS)
01-01-2020,19:00,20.000,R,ugm-3 (TEOM FDMS),14.84563,R,ugm-3,49.83088,R,ugm-3,72.59385,R,ugm-3,14.000,R,ugm-3 (TEOM FDMS),12.500,R,ugm-3 (TEOM FDMS),6.03699,R,ugm-3,19.200,R,ugm-3 (TEOM FDMS),6.000,R,ugm-3 (TEOM FDMS),6.700,R,ugm-3 (TEOM FDMS)
