Data supplied by UK-AIR on 26/5/2022
All Data GMT hour ending  NB:  Upto 17/05/2021 PM10 were measured with a TEOM FDMS, from 17/05/2021 PM10 were measured with a FIDAS
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2021,01:00,30.300,R,ugm-3 (TEOM FDMS),0.43120,R,ugm-3,17.30599,R,ugm-3,17.96716,R,ugm-3,27.500,R,ugm-3 (TEOM FDMS),25.500,R,ugm-3 (TEOM FDMS),30.86683,R,ugm-3,28.300,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS),2.800,R,ugm-3 (TEOM FDMS)
01-01-2021,02:00,27.700,R,ugm-3 (TEOM FDMS),0.51744,R,ugm-3,19.62684,R,ugm-3,20.42024,R,ugm-3,27.000,R,ugm-3 (TEOM FDMS),28.000,R,ugm-3 (TEOM FDMS),27.54066,R,ugm-3,30.000,R,ugm-3 (TEOM FDMS),0.700,R,ugm-3 (TEOM FDMS),2.000,R,ugm-3 (TEOM FDMS)
01-01-2021,03:00,12.500,R,ugm-3 (TEOM FDMS),0.16170,R,ugm-3,9.19974,R,ugm-3,9.44768,R,ugm-3,9.500,R,ugm-3 (TEOM FDMS),6.200,R,ugm-3 (TEOM FDMS),39.51486,R,ugm-3,5.400,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS),-0.800,R,ugm-3 (TEOM FDMS)
01-01-2021,04:00,8.000,R,ugm-3 (TEOM FDMS),0.09702,R,ugm-3,7.40938,R,ugm-3,7.55814,R,ugm-3,5.700,R,ugm-3 (TEOM FDMS),3.800,R,ugm-3 (TEOM FDMS),39.26540,R,ugm-3,6.400,R,ugm-3 (TEOM FDMS),2.300,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS)
01-01-2021,05:00,9.400,R,ugm-3 (TEOM FDMS),0.19404,R,ugm-3,11.13914,R,ugm-3,11.43666,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),7.700,R,ugm-3 (TEOM FDMS),33.02884,R,ugm-3,10.700,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),3.000,R,ugm-3 (TEOM FDMS)
01-01-2021,06:00,8.600,R,ugm-3 (TEOM FDMS),2.16679,R,ugm-3,21.04270,R,ugm-3,24.36506,R,ugm-3,6.000,R,ugm-3 (TEOM FDMS),1.300,R,ugm-3 (TEOM FDMS),26.29335,R,ugm-3,2.000,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),0.700,R,ugm-3 (TEOM FDMS)
01-01-2021,07:00,6.300,R,ugm-3 (TEOM FDMS),1.00254,R,ugm-3,16.81117,R,ugm-3,18.34838,R,ugm-3,3.700,R,ugm-3 (TEOM FDMS),3.900,R,ugm-3 (TEOM FDMS),30.88346,R,ugm-3,3.100,R,ugm-3 (TEOM FDMS),2.600,R,ugm-3 (TEOM FDMS),-0.800,R,ugm-3 (TEOM FDMS)
01-01-2021,08:00,9.200,R,ugm-3 (TEOM FDMS),2.13445,R,ugm-3,30.93776,R,ugm-3,34.21054,R,ugm-3,5.800,R,ugm-3 (TEOM FDMS),5.500,R,ugm-3 (TEOM FDMS),17.41248,R,ugm-3,7.900,R,ugm-3 (TEOM FDMS),3.400,R,ugm-3 (TEOM FDMS),2.400,R,ugm-3 (TEOM FDMS)
01-01-2021,09:00,6.800,R,ugm-3 (TEOM FDMS),15.26454,R,ugm-3,48.64568,R,ugm-3,72.05097,R,ugm-3,4.600,R,ugm-3 (TEOM FDMS),5.700,R,ugm-3 (TEOM FDMS),6.73549,R,ugm-3,6.200,R,ugm-3 (TEOM FDMS),2.200,R,ugm-3 (TEOM FDMS),0.500,R,ugm-3 (TEOM FDMS)
