Data supplied by UK-AIR on 23/3/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2022,01:00,22.150,R,ugm-3 (FIDAS),0.56246,R,ugm-3,4.94513,R,ugm-3,5.80756,R,ugm-3,49.02770,R,ugm-3,11.651,R,ugm-3 (Ref.eq)
01-01-2022,02:00,22.900,R,ugm-3 (FIDAS),0.56246,R,ugm-3,4.82157,R,ugm-3,5.68400,R,ugm-3,52.08777,R,ugm-3,11.368,R,ugm-3 (Ref.eq)
01-01-2022,03:00,25.900,R,ugm-3 (FIDAS),0.51224,R,ugm-3,4.91402,R,ugm-3,5.69944,R,ugm-3,52.13766,R,ugm-3,12.170,R,ugm-3 (Ref.eq)
01-01-2022,04:00,34.975,R,ugm-3 (FIDAS),0.42185,R,ugm-3,5.56233,R,ugm-3,6.20915,R,ugm-3,50.39143,R,ugm-3,15.118,R,ugm-3 (Ref.eq)
01-01-2022,05:00,36.900,R,ugm-3 (FIDAS),0.27119,R,ugm-3,4.82026,R,ugm-3,5.23608,R,ugm-3,51.28949,R,ugm-3,15.543,R,ugm-3 (Ref.eq)
01-01-2022,06:00,44.025,R,ugm-3 (FIDAS),0.24106,R,ugm-3,3.89339,R,ugm-3,4.26300,R,ugm-3,52.88605,R,ugm-3,17.760,R,ugm-3 (Ref.eq)
01-01-2022,07:00,43.675,R,ugm-3 (FIDAS),0.21092,R,ugm-3,3.93959,R,ugm-3,4.26300,R,ugm-3,52.63659,R,ugm-3,17.571,R,ugm-3 (Ref.eq)
01-01-2022,08:00,49.900,R,ugm-3 (FIDAS),0.24106,R,ugm-3,3.75438,R,ugm-3,4.12399,R,ugm-3,52.13766,R,ugm-3,19.953,R,ugm-3 (Ref.eq)
01-01-2022,09:00,50.750,R,ugm-3 (FIDAS),0.18079,R,ugm-3,3.24440,R,ugm-3,3.52161,R,ugm-3,51.78842,R,ugm-3,21.675,R,ugm-3 (Ref.eq)
01-01-2022,10:00,51.675,R,ugm-3 (FIDAS),0.84370,R,ugm-3,5.51788,R,ugm-3,6.81153,R,ugm-3,49.39358,R,ugm-3,23.066,R,ugm-3 (Ref.eq)
01-01-2022,11:00,55.850,R,ugm-3 (FIDAS),0.63277,R,ugm-3,7.27774,R,ugm-3,8.24798,R,ugm-3,46.69938,R,ugm-3,26.061,R,ugm-3 (Ref.eq)
01-01-2022,12:00,58.250,R,ugm-3 (FIDAS),0.87383,R,ugm-3,8.20556,R,ugm-3,9.54541,R,ugm-3,47.04863,R,ugm-3,27.736,R,ugm-3 (Ref.eq)
01-01-2022,13:00,56.275,R,ugm-3 (FIDAS),0.96422,R,ugm-3,10.33747,R,ugm-3,11.81592,R,ugm-3,46.30024,R,ugm-3,27.901,R,ugm-3 (Ref.eq)
01-01-2022,14:00,54.350,R,ugm-3 (FIDAS),0.63277,R,ugm-3,7.32408,R,ugm-3,8.29431,R,ugm-3,54.68218,R,ugm-3,27.359,R,ugm-3 (Ref.eq)
01-01-2022,15:00,52.375,R,ugm-3 (FIDAS),0.54238,R,ugm-3,6.35060,R,ugm-3,7.18223,R,ugm-3,58.92304,R,ugm-3,26.557,R,ugm-3 (Ref.eq)
01-01-2022,16:00,50.450,R,ugm-3 (FIDAS),0.48211,R,ugm-3,7.87945,R,ugm-3,8.61867,R,ugm-3,58.07487,R,ugm-3,25.708,R,ugm-3 (Ref.eq)
01-01-2022,17:00,45.650,R,ugm-3 (FIDAS),0.39172,R,ugm-3,7.83270,R,ugm-3,8.43332,R,ugm-3,59.07272,R,ugm-3,24.010,R,ugm-3 (Ref.eq)
01-01-2022,18:00,44.550,R,ugm-3 (FIDAS),0.30132,R,ugm-3,8.01764,R,ugm-3,8.47966,R,ugm-3,59.07272,R,ugm-3,23.160,R,ugm-3 (Ref.eq)
01-01-2022,19:00,38.925,R,ugm-3 (FIDAS),0.27119,R,ugm-3,5.88601,R,ugm-3,6.30182,R,ugm-3,62.96434,R,ugm-3,21.250,R,ugm-3 (Ref.eq)
01-01-2022,20:00,36.375,R,ugm-3 (FIDAS),0.24106,R,ugm-3,5.56152,R,ugm-3,5.93113,R,ugm-3,64.91014,R,ugm-3,19.859,R,ugm-3 (Ref.eq)
01-01-2022,21:00,37.800,R,ugm-3 (FIDAS),0.27119,R,ugm-3,5.14462,R,ugm-3,5.56043,R,ugm-3,64.96004,R,ugm-3,20.236,R,ugm-3 (Ref.eq)
01-01-2022,22:00,38.575,R,ugm-3 (FIDAS),0.24106,R,ugm-3,4.95914,R,ugm-3,5.32875,R,ugm-3,64.56090,R,ugm-3,20.094,R,ugm-3 (Ref.eq)
01-01-2022,23:00,34.425,R,ugm-3 (FIDAS),0.15066,R,ugm-3,4.44902,R,ugm-3,4.68003,R,ugm-3,62.71487,R,ugm-3,18.821,R,ugm-3 (Ref.eq)
01-01-2022,24:00,30.650,R,ugm-3 (FIDAS),0.21092,R,ugm-3,4.81999,R,ugm-3,5.14340,R,ugm-3,61.66713,R,ugm-3,16.439,R,ugm-3 (Ref.eq)
02-01-2022,01:00,29.950,R,ugm-3 (FIDAS),0.24098,R,ugm-3,5.00424,R,ugm-3,5.37373,R,ugm-3,61.60061,R,ugm-3,15.708,R,ugm-3 (Ref.eq)
02-01-2022,02:00,24.200,R,ugm-3 (FIDAS),0.12049,R,ugm-3,4.75662,R,ugm-3,4.94136,R,ugm-3,67.38814,R,ugm-3,11.981,R,ugm-3 (Ref.eq)
02-01-2022,03:00,19.425,R,ugm-3 (FIDAS),0.18073,R,ugm-3,3.33626,R,ugm-3,3.61337,R,ugm-3,77.13381,R,ugm-3,7.877,R,ugm-3 (Ref.eq)
