Data supplied by UK-AIR on 23/3/2023
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Tavistock Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2022,01:00,0.86966,R,ugm-3,6.34251,R,ugm-3,7.67596,R,ugm-3
01-01-2022,02:00,0.68657,R,ugm-3,3.73595,R,ugm-3,4.78867,R,ugm-3
01-01-2022,03:00,0.92687,R,ugm-3,4.12452,R,ugm-3,5.54571,R,ugm-3
01-01-2022,04:00,0.44627,R,ugm-3,3.17131,R,ugm-3,3.85559,R,ugm-3
01-01-2022,05:00,0.51493,R,ugm-3,2.53788,R,ugm-3,3.32742,R,ugm-3
01-01-2022,06:00,0.48060,R,ugm-3,2.90741,R,ugm-3,3.64432,R,ugm-3
01-01-2022,07:00,0.34329,R,ugm-3,4.17428,R,ugm-3,4.70065,R,ugm-3
01-01-2022,08:00,0.17164,R,ugm-3,4.01493,R,ugm-3,4.27812,R,ugm-3
01-01-2022,09:00,0.41194,R,ugm-3,4.80844,R,ugm-3,5.44007,R,ugm-3
01-01-2022,10:00,0.41194,R,ugm-3,6.60419,R,ugm-3,7.23583,R,ugm-3
01-01-2022,11:00,0.96120,R,ugm-3,7.92747,R,ugm-3,9.40129,R,ugm-3
01-01-2022,12:00,1.33881,R,ugm-3,9.88365,R,ugm-3,11.93647,R,ugm-3
01-01-2022,13:00,1.51046,R,ugm-3,13.58169,R,ugm-3,15.89769,R,ugm-3
01-01-2022,14:00,1.78508,R,ugm-3,12.10427,R,ugm-3,14.84136,R,ugm-3
01-01-2022,15:00,1.95673,R,ugm-3,11.68264,R,ugm-3,14.68292,R,ugm-3
01-01-2022,16:00,1.51046,R,ugm-3,12.94790,R,ugm-3,15.26389,R,ugm-3
01-01-2022,17:00,1.47613,R,ugm-3,13.63433,R,ugm-3,15.89769,R,ugm-3
01-01-2022,18:00,0.82388,R,ugm-3,12.62740,R,ugm-3,13.89067,R,ugm-3
01-01-2022,19:00,1.06418,R,ugm-3,11.25544,R,ugm-3,12.88716,R,ugm-3
01-01-2022,20:00,0.85821,R,ugm-3,9.88113,R,ugm-3,11.19704,R,ugm-3
01-01-2022,21:00,0.58358,R,ugm-3,9.08745,R,ugm-3,9.98227,R,ugm-3
01-01-2022,22:00,0.48060,R,ugm-3,7.02708,R,ugm-3,7.76399,R,ugm-3
01-01-2022,23:00,0.37761,R,ugm-3,6.07585,R,ugm-3,6.65485,R,ugm-3
